datetime,open,high,low,close,volume
2026-01-01 09:15:00,26173.3,26195.35,26157.05,26161.1,57635796
2026-01-01 09:25:00,26160.35,26189.6,26149.25,26180.1,12650368
2026-01-01 09:35:00,26179.5,26188.95,26162.75,26181.55,8862887
2026-01-01 09:45:00,26178.25,26197.55,26163.25,26189.1,9342122
2026-01-01 09:55:00,26189.8,26192.9,26153.5,26171.7,9468256
2026-01-01 10:05:00,26170.4,26179.1,26147.0,26151.15,5864909
2026-01-01 10:15:00,26151.65,26152.15,26117.7,26136.35,6918084
2026-01-01 10:25:00,26135.95,26167.1,26134.1,26166.0,5163561
2026-01-01 10:35:00,26165.8,26173.5,26149.4,26161.35,7938131
2026-01-01 10:45:00,26161.1,26185.6,26160.95,26179.5,5860666
2026-01-01 10:55:00,26180.0,26180.7,26161.4,26164.85,9448622
2026-01-01 11:05:00,26164.55,26174.3,26157.45,26170.5,10032948
2026-01-01 11:15:00,26169.3,26175.05,26158.5,26169.95,9885348
2026-01-01 11:25:00,26169.0,26177.75,26157.35,26160.85,9427287
2026-01-01 11:35:00,26160.65,26167.95,26142.6,26144.85,10481080
2026-01-01 11:45:00,26144.1,26149.95,26133.4,26148.25,8845356
2026-01-01 11:55:00,26147.85,26158.2,26139.35,26141.8,6589471
2026-01-01 12:05:00,26141.75,26144.5,26123.95,26125.0,11560048
2026-01-01 12:15:00,26124.35,26141.3,26113.4,26141.3,36563646
2026-01-01 12:25:00,26140.65,26155.9,26137.45,26154.45,10418143
2026-01-01 12:35:00,26153.05,26155.35,26126.85,26142.3,16141253
2026-01-01 12:45:00,26141.6,26162.55,26140.5,26150.25,13200384
2026-01-01 12:55:00,26150.35,26158.05,26147.25,26151.8,3889571
2026-01-01 13:05:00,26151.6,26158.7,26144.35,26151.45,4805689
2026-01-01 13:15:00,26150.8,26167.95,26129.7,26130.55,6136601
2026-01-01 13:25:00,26130.5,26161.35,26130.35,26146.6,7305363
2026-01-01 13:35:00,26146.85,26154.65,26137.95,26146.8,4442776
2026-01-01 13:45:00,26146.1,26161.9,26139.25,26158.4,4771297
2026-01-01 13:55:00,26159.15,26172.05,26153.2,26168.0,9071846
2026-01-01 14:05:00,26169.05,26176.2,26160.8,26168.0,15303782
2026-01-01 14:15:00,26166.85,26178.0,26154.7,26160.95,8481044
2026-01-01 14:25:00,26160.55,26164.3,26149.3,26162.5,7092990
2026-01-01 14:35:00,26162.55,26166.35,26157.9,26159.65,8744499
2026-01-01 14:45:00,26160.35,26164.0,26150.9,26155.4,10790135
2026-01-01 14:55:00,26156.05,26166.0,26137.65,26161.8,9364344
2026-01-01 15:05:00,26162.95,26168.6,26135.95,26142.85,16933627
2026-01-01 15:15:00,26142.55,26146.2,26126.8,26138.05,17263927
2026-01-01 15:25:00,26139.55,26145.15,26129.1,26140.25,8437130
2026-01-02 09:15:00,26155.1,26202.35,26118.4,26192.45,41317965
2026-01-02 09:25:00,26192.45,26216.2,26181.15,26197.65,15340047
2026-01-02 09:35:00,26199.3,26249.65,26195.9,26248.05,16044055
2026-01-02 09:45:00,26248.35,26272.85,26243.65,26268.0,10127767
2026-01-02 09:55:00,26268.3,26268.75,26246.5,26251.95,11135339
2026-01-02 10:05:00,26252.6,26255.85,26238.65,26254.65,8034201
2026-01-02 10:15:00,26254.9,26266.2,26246.65,26252.0,12433342
2026-01-02 10:25:00,26252.25,26253.85,26235.05,26240.25,9313162
2026-01-02 10:35:00,26239.9,26259.95,26239.0,26253.65,9916035
2026-01-02 10:45:00,26253.7,26267.85,26252.05,26258.3,10122594
2026-01-02 10:55:00,26258.2,26265.05,26252.7,26257.0,6770896
2026-01-02 11:05:00,26256.55,26260.1,26243.3,26254.05,8210032
2026-01-02 11:15:00,26253.3,26269.65,26252.75,26265.6,6460571
2026-01-02 11:25:00,26265.9,26286.45,26262.7,26284.55,8112731
2026-01-02 11:35:00,26284.8,26289.05,26276.7,26285.5,6758130
2026-01-02 11:45:00,26285.6,26298.7,26280.55,26294.6,6082893
2026-01-02 11:55:00,26294.65,26294.8,26275.05,26287.1,7307828
2026-01-02 12:05:00,26287.75,26291.2,26282.95,26287.6,6692441
2026-01-02 12:15:00,26287.1,26296.65,26277.0,26295.35,6688295
2026-01-02 12:25:00,26295.0,26310.9,26291.9,26309.6,6359575
2026-01-02 12:35:00,26309.75,26312.4,26302.35,26303.05,7330945
2026-01-02 12:45:00,26301.65,26304.25,26286.7,26292.5,5906516
2026-01-02 12:55:00,26291.9,26298.55,26289.1,26296.75,6767588
2026-01-02 13:05:00,26295.75,26305.9,26294.95,26302.75,5709413
2026-01-02 13:15:00,26302.55,26314.55,26301.05,26310.1,7628088
2026-01-02 13:25:00,26310.7,26311.7,26298.95,26304.45,6154567
2026-01-02 13:35:00,26306.25,26310.05,26299.8,26304.6,5723952
2026-01-02 13:45:00,26304.7,26310.95,26298.1,26305.35,5811857
2026-01-02 13:55:00,26305.2,26307.05,26295.95,26298.0,5113023
2026-01-02 14:05:00,26297.85,26306.6,26295.8,26302.8,4295489
2026-01-02 14:15:00,26302.6,26315.05,26301.75,26313.65,5522131
2026-01-02 14:25:00,26313.45,26313.45,26278.2,26285.65,6105818
2026-01-02 14:35:00,26285.15,26285.35,26267.2,26271.8,8844371
2026-01-02 14:45:00,26272.1,26288.6,26265.85,26285.8,7992924
2026-01-02 14:55:00,26286.85,26315.4,26283.8,26313.1,10787915
2026-01-02 15:05:00,26309.6,26332.15,26308.85,26324.75,13681749
2026-01-02 15:15:00,26322.7,26337.3,26319.5,26333.45,19171879
2026-01-02 15:25:00,26332.2,26340.0,26329.45,26335.7,9600628
2026-01-05 09:15:00,26333.7,26358.25,26293.25,26297.55,34150115
2026-01-05 09:25:00,26300.2,26323.25,26269.5,26272.35,17716587
2026-01-05 09:35:00,26272.6,26296.95,26263.6,26279.25,16280461
2026-01-05 09:45:00,26280.1,26311.65,26274.0,26305.0,12379722
2026-01-05 09:55:00,26305.1,26326.5,26291.6,26292.0,12251078
2026-01-05 10:05:00,26292.05,26342.3,26285.1,26339.15,10277877
2026-01-05 10:15:00,26339.1,26369.25,26337.0,26367.7,9833370
2026-01-05 10:25:00,26366.85,26373.2,26349.55,26352.6,7087994
2026-01-05 10:35:00,26353.05,26363.35,26333.95,26348.4,6824173
2026-01-05 10:45:00,26348.5,26361.35,26343.4,26356.45,6342536
2026-01-05 10:55:00,26356.05,26365.0,26346.65,26361.85,6732529
2026-01-05 11:05:00,26362.5,26363.55,26348.0,26359.25,7292402
2026-01-05 11:15:00,26358.95,26361.35,26320.4,26320.75,6656943
2026-01-05 11:25:00,26320.3,26335.3,26313.85,26319.15,6358668
2026-01-05 11:35:00,26317.55,26341.6,26315.5,26338.7,9436015
2026-01-05 11:45:00,26338.65,26341.15,26322.25,26325.75,6059833
2026-01-05 11:55:00,26325.3,26337.3,26311.5,26319.75,6205409
2026-01-05 12:05:00,26319.5,26334.85,26313.75,26333.2,4329848
2026-01-05 12:15:00,26334.2,26343.35,26329.5,26337.4,5204375
2026-01-05 12:25:00,26336.85,26342.65,26329.8,26333.95,6303657
2026-01-05 12:35:00,26333.1,26341.95,26330.45,26333.05,6480026
